Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
RM8,Three Bedrooms,30,"1,417","1,300","1,425","1,500"
RM8,Four or More Bedrooms,10,"1,609","1,600","1,650","1,700"
RM9,One Bedroom,10,894,850,900,985
RM9,Two Bedrooms,30,"1,214","1,150","1,200","1,300"
RM9,Three Bedrooms,20,"1,343","1,300","1,350","1,450"
SE1,One Bedroom,160,"1,633","1,350","1,603","1,800"
SE1,Two Bedrooms,160,"2,135","1,733","2,015","2,492"
SE1,Three Bedrooms,40,"2,738","2,400","2,600","3,025"
SE10,One Bedroom,60,"1,371","1,270","1,395","1,450"
SE10,Two Bedrooms,80,"1,705","1,500","1,650","1,800"
SE10,Three Bedrooms,40,"2,279","1,950","2,100","2,500"
SE11,One Bedroom,20,"1,365","1,300","1,365","1,500"
SE11,Two Bedrooms,20,"1,714","1,500","1,750","2,000"
SE11,Three Bedrooms,10,"2,119","1,700","2,200","2,350"
SE11,Four or More Bedrooms,10,"3,267","3,200","3,250","3,440"
SE12,One Bedroom,30,"1,040",950,"1,000","1,150"
SE12,Two Bedrooms,60,"1,232","1,150","1,250","1,300"
SE12,Three Bedrooms,30,"1,556","1,450","1,550","1,600"
SE12,Four or More Bedrooms,10,"2,059","1,875","2,150","2,250"
SE13,One Bedroom,190,"1,282","1,150","1,320","1,425"
SE13,Two Bedrooms,170,"1,487","1,300","1,473","1,710"
SE13,Three Bedrooms,30,"1,778","1,600","1,674","1,900"
SE13,Four or More Bedrooms,10,"2,188","1,775","2,300","2,500"
SE14,One Bedroom,20,"1,137","1,050","1,100","1,250"
SE14,Two Bedrooms,20,"1,400","1,300","1,388","1,538"
SE14,Three Bedrooms,10,"1,742","1,500","1,795","2,000"
SE15,One Bedroom,70,"1,282","1,192","1,250","1,400"
SE15,Two Bedrooms,80,"1,589","1,400","1,555","1,700"
SE15,Three Bedrooms,30,"2,065","1,995","2,200","2,300"
SE15,Four or More Bedrooms,20,"2,634","2,400","2,500","2,800"
SE16,One Bedroom,100,"1,343","1,200","1,300","1,425"
SE16,Two Bedrooms,120,"1,674","1,500","1,600","1,800"
SE16,Three Bedrooms,30,"2,102","1,850","2,100","2,344"
SE16,Four or More Bedrooms,10,"2,607","2,400","2,600","2,800"
SE17,One Bedroom,20,"1,255","1,200","1,250","1,375"
SE17,Two Bedrooms,30,"1,545","1,380","1,500","1,650"
SE17,Three Bedrooms,20,"1,782","1,515","1,760","1,950"
SE17,Four or More Bedrooms,20,"2,509","2,330","2,550","2,675"
SE18,One Bedroom,90,"1,057",900,"1,000","1,150"
SE18,Two Bedrooms,130,"1,305","1,150","1,250","1,450"
SE18,Three Bedrooms,50,"1,468","1,350","1,450","1,575"
SE18,Four or More Bedrooms,10,"1,952","1,600","1,763","1,975"
SE19,One Bedroom,20,"1,036",900,"1,020","1,100"
SE19,Two Bedrooms,20,"1,340","1,245","1,313","1,400"
SE19,Three Bedrooms,10,"1,650","1,450","1,600","1,850"
SE2,One Bedroom,10,799,775,778,830
SE2,Two Bedrooms,10,950,880,900,940
SE2,Three Bedrooms,40,"1,209","1,131","1,150","1,311"
SE2,Four or More Bedrooms,10,"1,451","1,245","1,297","1,375"
SE20,One Bedroom,60,961,900,950,"1,013"
SE20,Two Bedrooms,40,"1,179","1,050","1,200","1,295"
SE20,Three Bedrooms,10,"1,460","1,413","1,500","1,525"
SE21,One Bedroom,10,"1,329","1,325","1,350","1,400"
SE21,Two Bedrooms,70,"1,369","1,103","1,275","1,700"
SE21,Three Bedrooms,20,"2,015","1,850","1,925","2,200"
SE21,Four or More Bedrooms,10,"3,602","3,200","3,600","4,300"
SE22,One Bedroom,50,"1,301","1,200","1,300","1,400"
SE22,Two Bedrooms,70,"1,629","1,525","1,650","1,750"
SE22,Three Bedrooms,20,"2,143","1,925","2,250","2,350"
SE22,Four or More Bedrooms,10,"2,779","2,600","2,800","3,000"
SE23,One Bedroom,30,"1,094",950,"1,100","1,150"
SE23,Two Bedrooms,40,"1,376","1,300","1,375","1,500"
SE23,Three Bedrooms,10,"1,724","1,650","1,750","1,800"
SE23,Four or More Bedrooms,10,"1,992","1,665","2,000","2,400"
SE24,One Bedroom,20,"1,345","1,245","1,395","1,475"
SE24,Two Bedrooms,30,"1,606","1,495","1,638","1,750"
SE24,Three Bedrooms,10,"2,371","1,650","2,450","2,900"
SE24,Four or More Bedrooms,10,"3,200","2,200","3,475","3,650"
SE25,One Bedroom,70,924,850,910,975
SE25,Two Bedrooms,60,"1,189","1,100","1,200","1,250"
SE25,Three Bedrooms,20,"1,487","1,400","1,475","1,600"
SE26,One Bedroom,50,"1,050",950,"1,050","1,150"
SE26,Two Bedrooms,90,"1,263","1,155","1,255","1,358"
SE26,Three Bedrooms,30,"1,581","1,400","1,588","1,725"
SE26,Four or More Bedrooms,10,"2,516","2,250","2,339","2,725"
SE27,One Bedroom,10,"1,158","1,100","1,148","1,250"
SE27,Two Bedrooms,10,"1,361","1,225","1,300","1,480"
SE28,One Bedroom,10,913,850,875,925
SE28,Two Bedrooms,20,"1,181","1,100","1,200","1,300"
SE28,Three Bedrooms,10,"1,356","1,275","1,340","1,400"
SE3,One Bedroom,60,"1,261","1,148","1,250","1,338"
SE3,Two Bedrooms,100,"1,518","1,325","1,500","1,700"
SE3,Three Bedrooms,40,"1,854","1,625","1,825","2,000"
SE3,Four or More Bedrooms,10,"2,338","2,000","2,600","3,000"
SE4,One Bedroom,30,"1,043",950,"1,050","1,150"
SE4,Two Bedrooms,40,"1,360","1,300","1,361","1,425"
SE4,Three Bedrooms,10,"1,604","1,343","1,635","1,795"
SE5,One Bedroom,30,"1,260","1,225","1,300","1,400"
SE5,Two Bedrooms,50,"1,433","1,350","1,440","1,567"
SE5,Three Bedrooms,20,"2,032","1,900","2,050","2,200"
SE5,Four or More Bedrooms,10,"2,909","2,500","3,045","3,300"
SE6,One Bedroom,70,"1,011",925,"1,000","1,100"
SE6,Two Bedrooms,100,"1,245","1,150","1,238","1,350"
SE6,Three Bedrooms,30,"1,537","1,450","1,500","1,650"
SE6,Four or More Bedrooms,10,"1,812","1,700","1,800","2,100"
SE7,One Bedroom,20,"1,150","1,100","1,150","1,250"
SE7,Two Bedrooms,30,"1,297","1,200","1,300","1,400"
SE7,Three Bedrooms,20,"1,683","1,600","1,750","1,800"
SE7,Four or More Bedrooms,10,"2,179","2,000","2,100","2,400"
SE8,One Bedroom,50,"1,209","1,100","1,192","1,350"
SE8,Two Bedrooms,60,"1,367","1,250","1,370","1,550"
SE8,Three Bedrooms,10,"1,641","1,160","1,725","1,800"
SE9,One Bedroom,30,993,900,950,"1,075"
SE9,Two Bedrooms,70,"1,245","1,150","1,200","1,350"
SE9,Three Bedrooms,60,"1,511","1,363","1,500","1,650"
SE9,Four or More Bedrooms,10,"2,140","1,850","2,200","2,500"
SM1,One Bedroom,120,931,875,920,975
SM1,Two Bedrooms,150,"1,181","1,100","1,195","1,250"
SM1,Three Bedrooms,50,"1,481","1,350","1,455","1,600"
SM1,Four or More Bedrooms,10,"1,878","1,700","1,800","1,900"
SM2,One Bedroom,180,941,900,950,995
SM2,Two Bedrooms,230,"1,171","1,095","1,175","1,250"
SM2,Three Bedrooms,40,"1,470","1,325","1,450","1,575"
SM2,Four or More Bedrooms,10,"2,016","1,755","1,950","2,100"
SM3,One Bedroom,10,958,825,963,"1,050"
SM3,Two Bedrooms,30,"1,221","1,080","1,250","1,300"
SM3,Three Bedrooms,20,"1,659","1,595","1,613","1,650"
SM4,One Bedroom,10,"1,019",950,"1,050","1,100"
SM4,Two Bedrooms,30,"1,287","1,175","1,250","1,350"
SM4,Three Bedrooms,20,"1,580","1,450","1,525","1,745"
SM4,Four or More Bedrooms,10,"2,215","1,750","2,048","2,700"
SM5,One Bedroom,20,887,850,895,925
SM5,Two Bedrooms,40,"1,110","1,000","1,100","1,250"
SM5,Three Bedrooms,20,"1,428","1,375","1,450","1,500"
SM6,One Bedroom,40,897,850,900,950
SM6,Two Bedrooms,80,"1,142","1,073","1,150","1,250"
SM6,Three Bedrooms,20,"1,489","1,400","1,500","1,575"
SM6,Four or More Bedrooms,10,"1,928","1,800","1,900","2,100"
SW10,One Bedroom,50,"1,842","1,560","1,782","2,058"
SW10,Two Bedrooms,50,"2,237","1,885","2,188","2,406"
SW10,Three Bedrooms,10,"3,536","3,100","3,564","3,683"
SW11,One Bedroom,150,"1,474","1,268","1,461","1,693"
SW11,Two Bedrooms,250,"1,978","1,688","1,900","2,200"
SW11,Three Bedrooms,100,"2,575","2,113","2,500","2,750"
SW11,Four or More Bedrooms,50,"3,509","3,000","3,400","3,750"
SW12,One Bedroom,40,"1,461","1,328","1,450","1,603"
SW12,Two Bedrooms,70,"1,976","1,733","1,971","2,200"
SW12,Three Bedrooms,20,"2,374","2,000","2,360","2,578"
SW12,Four or More Bedrooms,10,"3,379","3,100","3,481","3,748"
SW13,One Bedroom,80,"1,396","1,250","1,400","1,500"
SW13,Two Bedrooms,150,"1,867","1,500","1,750","2,100"
SW13,Three Bedrooms,80,"2,474","1,825","2,250","2,950"
SW13,Four or More Bedrooms,40,"4,946","2,998","3,725","5,775"
SW14,One Bedroom,90,"1,286","1,200","1,295","1,375"
SW14,Two Bedrooms,250,"1,687","1,450","1,650","1,850"
SW14,Three Bedrooms,110,"2,352","1,795","2,250","2,665"
SW14,Four or More Bedrooms,100,"3,803","2,950","3,500","4,099"
SW15,One Bedroom,130,"1,421","1,350","1,445","1,517"
SW15,Two Bedrooms,220,"1,797","1,550","1,750","1,995"
SW15,Three Bedrooms,90,"2,216","1,800","2,100","2,400"
SW15,Four or More Bedrooms,50,"3,545","2,245","2,900","3,795"
SW16,One Bedroom,50,"1,120","1,020","1,100","1,225"
SW16,Two Bedrooms,60,"1,369","1,250","1,342","1,472"
SW16,Three Bedrooms,40,"1,600","1,473","1,650","1,700"
SW16,Four or More Bedrooms,30,"2,002","1,650","1,900","2,300"
SW17,One Bedroom,30,"1,270","1,063","1,300","1,400"
SW17,Two Bedrooms,60,"1,526","1,400","1,490","1,605"
SW17,Three Bedrooms,30,"2,019","1,750","2,038","2,275"
SW17,Four or More Bedrooms,30,"2,450","2,100","2,350","2,700"
SW18,One Bedroom,70,"1,383","1,275","1,350","1,500"
SW18,Two Bedrooms,160,"1,744","1,550","1,700","1,875"
SW18,Three Bedrooms,60,"2,298","1,863","2,200","2,600"
SW18,Four or More Bedrooms,50,"3,166","2,700","3,050","3,520"
SW19,One Bedroom,340,"1,278","1,175","1,250","1,375"
SW19,Two Bedrooms,500,"1,591","1,400","1,550","1,700"
SW19,Three Bedrooms,170,"2,164","1,750","2,100","2,375"
SW19,Four or More Bedrooms,120,"3,058","2,350","2,750","3,175"
SW1E,Two Bedrooms,10,"3,305","2,542","3,300","4,104"
SW1E,Three Bedrooms,10,"4,763","3,250","5,250","6,000"
SW1P,One Bedroom,30,"1,751","1,538","1,820","1,885"
SW1P,Two Bedrooms,50,"2,847","2,145","2,405","2,752"
SW1P,Three Bedrooms,20,"3,630","3,231","3,489","3,900"
SW1V,One Bedroom,90,"1,939","1,582","1,787","1,950"
SW1V,Two Bedrooms,90,"2,391","2,015","2,178","2,557"
SW1V,Three Bedrooms,40,"3,184","2,524","3,006","3,423"
SW1V,Four or More Bedrooms,10,"6,965","5,001","6,674","7,583"
SW1W,One Bedroom,30,"2,503","1,482","2,000","2,687"
SW1W,Two Bedrooms,40,"3,217","2,600","3,033","3,792"
SW1W,Three Bedrooms,10,"5,246","3,943","5,200","5,525"
SW1W,Four or More Bedrooms,10,"12,347","7,746","13,542","15,967"
SW1X,One Bedroom,10,"2,170","1,733","2,145","2,275"
SW1X,Two Bedrooms,10,"4,627","3,575","4,550","5,200"
SW1X,Three Bedrooms,10,"6,175","4,767","5,200","6,500"
SW1X,Four or More Bedrooms,10,"8,186","5,498","6,067","13,867"
SW2,One Bedroom,30,"1,295","1,148","1,250","1,450"
SW2,Two Bedrooms,90,"1,620","1,490","1,565","1,751"
SW2,Three Bedrooms,20,"2,174","1,799","2,134","2,492"
SW2,Four or More Bedrooms,20,"2,900","2,535","3,160","3,337"
SW20,One Bedroom,70,"1,201","1,100","1,200","1,300"
SW20,Two Bedrooms,80,"1,686","1,350","1,475","1,650"
SW20,Three Bedrooms,40,"2,023","1,815","1,998","2,150"
SW20,Four or More Bedrooms,40,"3,047","2,600","2,750","3,150"
SW3,One Bedroom,180,"2,037","1,712","1,950","2,232"
SW3,Two Bedrooms,160,"3,037","2,462","2,850","3,467"
SW3,Three Bedrooms,50,"5,156","3,686","4,333","6,478"
SW3,Four or More Bedrooms,30,"9,649","6,283","8,883","13,371"
SW4,One Bedroom,120,"1,526","1,400","1,500","1,648"
SW4,Two Bedrooms,220,"1,868","1,650","1,798","2,050"
SW4,Three Bedrooms,90,"2,305","2,000","2,315","2,600"
SW4,Four or More Bedrooms,50,"3,556","3,000","3,400","3,880"
SW5,One Bedroom,40,"1,875","1,690","1,885","2,015"
SW5,Two Bedrooms,80,"2,729","2,053","2,362","2,925"
SW5,Three Bedrooms,10,"3,631","2,510","3,900","4,550"
SW5,Four or More Bedrooms,10,"5,995","4,469","6,037","6,721"
SW6,One Bedroom,240,"1,530","1,264","1,500","1,694"
SW6,Two Bedrooms,260,"2,009","1,700","1,950","2,249"
SW6,Three Bedrooms,120,"2,870","2,301","2,800","3,250"
SW6,Four or More Bedrooms,110,"4,883","3,650","4,225","5,612"
SW7,One Bedroom,60,"2,374","1,860","2,253","2,672"
SW7,Two Bedrooms,100,"3,247","2,448","2,828","3,467"
SW7,Three Bedrooms,30,"5,434","3,358","4,117","7,367"
SW7,Four or More Bedrooms,20,"7,534","4,600","8,051","8,927"
SW8,One Bedroom,90,"1,750","1,560","1,794","1,915"
SW8,Two Bedrooms,120,"2,023","1,700","1,995","2,383"
SW8,Three Bedrooms,50,"2,807","2,208","2,677","3,488"
SW8,Four or More Bedrooms,10,"3,202","2,595","3,405","3,863"
SW9,One Bedroom,30,"1,429","1,375","1,450","1,500"
SW9,Two Bedrooms,30,"1,681","1,500","1,668","1,875"
SW9,Three Bedrooms,20,"2,331","1,900","2,250","2,600"
SW9,Four or More Bedrooms,10,"3,343","3,250","3,313","3,467"
TN16,Two Bedrooms,10,"1,249","1,250","1,258","1,300"
TN16,Four or More Bedrooms,10,"2,019","1,600","1,625","1,650"
TW1,One Bedroom,80,"1,210","1,100","1,200","1,325"
TW1,Two Bedrooms,90,"1,576","1,350","1,586","1,700"
TW1,Three Bedrooms,20,"2,368","1,600","2,200","2,695"
TW1,Four or More Bedrooms,20,"3,681","2,600","3,500","4,500"
TW10,One Bedroom,30,"1,295","1,100","1,275","1,375"
TW10,Two Bedrooms,90,"1,914","1,521","1,800","2,050"
TW10,Three Bedrooms,30,"2,274","1,750","2,150","2,868"
TW10,Four or More Bedrooms,10,"3,947","2,900","3,250","5,665"
TW11,One Bedroom,10,"1,091",975,"1,000","1,125"
TW11,Two Bedrooms,20,"1,452","1,275","1,475","1,615"
TW12,One Bedroom,10,"1,084","1,000","1,050","1,150"
TW12,Two Bedrooms,10,"1,353","1,300","1,363","1,400"
TW12,Three Bedrooms,10,"1,706","1,500","1,688","1,888"
TW13,One Bedroom,50,972,950,"1,000","1,023"
TW13,Two Bedrooms,80,"1,228","1,150","1,250","1,285"
TW13,Three Bedrooms,40,"1,405","1,325","1,450","1,500"
TW13,Four or More Bedrooms,10,"1,544","1,450","1,550","1,650"
TW14,One Bedroom,30,961,920,963,998
TW14,Two Bedrooms,50,"1,195","1,150","1,200","1,250"
TW14,Three Bedrooms,40,"1,451","1,370","1,450","1,550"
TW14,Four or More Bedrooms,10,"1,675","1,550","1,575","1,800"
TW2,One Bedroom,20,"1,091",950,"1,086","1,198"
TW2,Two Bedrooms,50,"1,361","1,200","1,300","1,500"
TW2,Three Bedrooms,50,"1,726","1,500","1,695","1,825"
TW2,Four or More Bedrooms,20,"2,360","2,095","2,240","2,750"
TW3,One Bedroom,90,"1,050",950,"1,050","1,100"
TW3,Two Bedrooms,150,"1,253","1,175","1,250","1,350"
TW3,Three Bedrooms,50,"1,587","1,500","1,625","1,695"
TW3,Four or More Bedrooms,20,"1,972","1,800","1,900","2,100"
TW4,One Bedroom,30,986,900,950,"1,095"
TW4,Two Bedrooms,40,"1,231","1,150","1,250","1,300"
TW4,Three Bedrooms,50,"1,636","1,575","1,650","1,700"
TW4,Four or More Bedrooms,10,"1,892","1,750","1,800","2,200"
TW5,One Bedroom,20,"1,006",925,"1,000","1,050"
TW5,Two Bedrooms,60,"1,237","1,200","1,250","1,275"
TW5,Three Bedrooms,40,"1,585","1,413","1,600","1,700"
TW5,Four or More Bedrooms,30,"1,795","1,600","1,700","1,900"
TW7,One Bedroom,70,"1,089","1,025","1,100","1,150"
TW7,Two Bedrooms,140,"1,341","1,250","1,338","1,400"
TW7,Three Bedrooms,60,"1,644","1,495","1,600","1,795"
TW7,Four or More Bedrooms,20,"2,113","1,800","2,100","2,300"
TW8,One Bedroom,110,"1,242","1,100","1,250","1,375"
TW8,Two Bedrooms,100,"1,595","1,363","1,585","1,750"
TW8,Three Bedrooms,60,"1,967","1,650","1,850","2,383"
TW8,Four or More Bedrooms,10,"2,726","2,643","2,752","2,925"
TW9,One Bedroom,80,"1,363","1,250","1,296","1,400"
TW9,Two Bedrooms,130,"1,691","1,500","1,649","1,800"
TW9,Three Bedrooms,20,"2,246","1,773","2,250","2,535"
TW9,Four or More Bedrooms,10,"3,379","2,600","3,500","4,000"
UB1,Two Bedrooms,10,"1,226","1,120","1,260","1,300"
UB1,Three Bedrooms,10,"1,482","1,250","1,500","1,650"
UB10,One Bedroom,50,"1,013",920,995,"1,150"
UB10,Two Bedrooms,90,"1,285","1,200","1,275","1,375"
UB10,Three Bedrooms,100,"1,385","1,230","1,350","1,500"
UB10,Four or More Bedrooms,40,"2,220","1,800","2,000","2,300"
UB2,One Bedroom,10,938,850,925,"1,025"
UB2,Two Bedrooms,10,"1,215","1,100","1,273","1,300"
UB3,One Bedroom,130,"1,179",980,"1,285","1,335"
UB3,Two Bedrooms,130,"1,443","1,400","1,460","1,525"
UB3,Three Bedrooms,20,"1,649","1,475","1,550","2,010"
UB4,One Bedroom,10,"1,006",935,988,"1,050"
UB4,Two Bedrooms,20,"1,178","1,119","1,200","1,200"
UB4,Three Bedrooms,20,"1,466","1,400","1,475","1,525"
UB5,One Bedroom,30,983,950,975,"1,000"
UB5,Two Bedrooms,20,"1,256","1,175","1,275","1,300"
UB5,Three Bedrooms,10,"1,529","1,400","1,500","1,600"
UB6,One Bedroom,30,"1,120",995,"1,148","1,200"
UB6,Two Bedrooms,20,"1,274","1,200","1,250","1,350"
UB6,Three Bedrooms,20,"1,605","1,550","1,583","1,675"
UB6,Four or More Bedrooms,10,"1,960","1,850","2,000","2,100"
UB7,One Bedroom,90,"1,033",925,"1,070","1,100"
UB7,Two Bedrooms,120,"1,252","1,200","1,275","1,350"
UB7,Three Bedrooms,40,"1,484","1,300","1,495","1,600"
UB7,Four or More Bedrooms,10,"1,944","1,725","1,900","2,200"
UB8,One Bedroom,130,"1,026",925,"1,000","1,100"
UB8,Two Bedrooms,140,"1,247","1,170","1,250","1,325"
UB8,Three Bedrooms,40,"1,476","1,375","1,450","1,600"
UB8,Four or More Bedrooms,50,"1,900","1,650","1,850","2,100"
UB9,Two Bedrooms,10,"1,204","1,150","1,200","1,250"
UB9,Three Bedrooms,10,"1,465","1,375","1,500","1,500"
W10,One Bedroom,20,"1,578","1,334","1,583","1,820"
W10,Two Bedrooms,20,"2,510","1,950","2,351","3,011"
W10,Three Bedrooms,20,"4,322","2,600","3,400","5,417"
W10,Four or More Bedrooms,10,"3,847","1,900","2,210","2,665"
W11,One Bedroom,60,"1,928","1,500","1,733","2,058"
W11,Two Bedrooms,80,"2,863","2,145","2,492","3,211"
W11,Three Bedrooms,30,"4,956","3,033","4,171","6,500"
W11,Four or More Bedrooms,10,"8,037","3,600","8,063","11,000"
W12,One Bedroom,190,"1,479","1,274","1,350","1,517"
W12,Two Bedrooms,150,"1,944","1,473","1,699","2,150"
W12,Three Bedrooms,40,"2,463","2,000","2,275","2,578"
W12,Four or More Bedrooms,20,"3,454","2,817","3,200","3,900"
W13,One Bedroom,170,"1,264","1,200","1,250","1,316"
W13,Two Bedrooms,220,"1,460","1,350","1,450","1,575"
W13,Three Bedrooms,80,"2,021","1,798","1,950","2,200"
W13,Four or More Bedrooms,40,"2,711","2,300","2,500","2,817"
W14,One Bedroom,110,"1,573","1,400","1,517","1,647"
W14,Two Bedrooms,160,"2,078","1,733","1,902","2,167"
W14,Three Bedrooms,40,"3,191","2,350","2,698","3,293"
W14,Four or More Bedrooms,10,"4,562","2,600","4,250","6,717"
W1H,One Bedroom,100,"2,384","1,993","2,318","2,643"
W1H,Two Bedrooms,120,"3,420","2,817","3,185","3,913"
W1H,Three Bedrooms,30,"4,202","3,337","4,333","4,959"
W1T,One Bedroom,10,"1,789","1,650","1,781","1,950"
W1U,One Bedroom,90,"2,568","2,383","2,577","2,773"
W1U,Two Bedrooms,60,"3,279","2,708","3,033","3,682"
W1U,Three Bedrooms,20,"5,074","3,467","4,312","5,037"
W1W,One Bedroom,10,"2,611","1,842","1,842","3,683"
W2,One Bedroom,130,"1,861","1,500","1,690","2,015"
W2,Two Bedrooms,140,"2,680","2,058","2,492","2,882"
W2,Three Bedrooms,40,"4,677","3,033","4,117","5,850"
W2,Four or More Bedrooms,10,"8,053","5,417","7,150","11,700"
W3,One Bedroom,60,"1,298","1,226","1,300","1,400"
W3,Two Bedrooms,90,"1,611","1,520","1,600","1,700"
W3,Three Bedrooms,50,"2,111","1,850","2,100","2,300"
W3,Four or More Bedrooms,40,"2,864","2,350","2,640","3,150"
W4,One Bedroom,70,"1,387","1,250","1,398","1,500"
W4,Two Bedrooms,120,"1,701","1,500","1,650","1,800"
W4,Three Bedrooms,40,"2,296","1,899","2,123","2,686"
W4,Four or More Bedrooms,30,"4,032","2,708","3,975","5,000"
W5,One Bedroom,290,"1,284","1,148","1,275","1,400"
W5,Two Bedrooms,390,"1,636","1,400","1,500","1,800"
W5,Three Bedrooms,140,"2,106","1,750","1,998","2,200"
W5,Four or More Bedrooms,90,"3,075","2,400","2,600","3,500"
W6,One Bedroom,90,"1,372","1,172","1,320","1,517"
W6,Two Bedrooms,60,"1,877","1,613","1,799","2,101"
W6,Three Bedrooms,50,"2,567","2,199","2,400","2,850"
W6,Four or More Bedrooms,10,"4,098","3,402","3,683","4,550"
W7,One Bedroom,50,"1,151","1,100","1,150","1,225"
W7,Two Bedrooms,60,"1,327","1,250","1,364","1,450"
W7,Three Bedrooms,20,"1,819","1,650","1,700","1,895"
W7,Four or More Bedrooms,20,"2,241","1,950","2,200","2,301"
W8,One Bedroom,90,"2,205","1,842","2,044","2,383"
W8,Two Bedrooms,120,"3,401","2,600","3,033","3,683"
W8,Three Bedrooms,60,"5,026","4,550","4,606","4,810"
W8,Four or More Bedrooms,10,"7,479","4,929","6,934","9,642"
W9,One Bedroom,20,"1,541","1,300","1,500","1,842"
W9,Two Bedrooms,30,"2,244","2,100","2,298","2,500"
W9,Three Bedrooms,10,"3,070","2,450","2,626","3,900"
WC1A,Two Bedrooms,10,"2,186","2,150","2,178","2,275"
WC1B,One Bedroom,10,"2,291","2,232","2,383","2,383"
WC1B,Two Bedrooms,10,"2,955","2,893","2,968","3,155"
WC1E,One Bedroom,30,"2,216","2,023","2,102","2,362"
WC1E,Two Bedrooms,40,"2,608","2,405","2,548","2,843"
WC1E,Three Bedrooms,10,"4,021","3,754","3,987","4,117"
WC1H,One Bedroom,10,"1,437","1,320","1,398","1,513"
